car_id,current_office_id,car_name,car_type,fuel_type,model,model_year
106,72,Cayenne,suv,HYBRID,Porsche,2017
107,10,Model 3,car,ELECTRIC,Tesla,2019
108,40,Cayenne,suv,GASOLINE,Porsche,2011
109,15,F-TYPE,car,GASOLINE,Jaguar,2016
110,64,Fiesta,car,GASOLINE,Ford,2017
111,21,Camaro,car,GASOLINE,Chevrolet,2016
112,84,TTS,car,GASOLINE,Audi,2017
113,55,X4,suv,GASOLINE,BMW,2017
114,72,Charger,car,GASOLINE,Dodge,2017
115,9,Model 3,car,ELECTRIC,Tesla,2019
116,55,Suburban,suv,GASOLINE,Chevrolet,2011
117,15,Corolla,car,GASOLINE,Toyota,2020
118,49,Boxster,car,GASOLINE,Porsche,2015
119,61,Model 3,car,ELECTRIC,Tesla,2019
120,23,Mirage,car,GASOLINE,Mitsubishi,2014
121,41,Corvette,car,GASOLINE,Chevrolet,2017
122,84,Panamera,car,GASOLINE,Porsche,2016
123,96,Range Rover,suv,DIESEL,Land Rover,2016
124,95,4 Series,car,GASOLINE,BMW,2014
125,44,IS 200t,car,GASOLINE,Lexus,2016
126,42,Suburban,suv,GASOLINE,Chevrolet,2012
127,83,Versa,car,GASOLINE,Nissan,2017
128,60,Ghibli,car,GASOLINE,Maserati,2017
129,60,F-TYPE,car,GASOLINE,Jaguar,2014
130,69,4 Series,car,GASOLINE,BMW,2015
131,49,Challenger,car,GASOLINE,Dodge,2019
132,95,A7,car,GASOLINE,Audi,2017
133,58,Mustang,car,GASOLINE,Ford,2014
134,95,Ghibli,car,GASOLINE,Maserati,2017
135,88,Q7,suv,DIESEL,Audi,2015
136,72,Mustang,car,GASOLINE,Ford,2018
137,18,Model S,car,ELECTRIC,Tesla,2015
138,55,Accent,car,GASOLINE,Hyundai,2017
139,56,Challenger,car,GASOLINE,Dodge,2018
140,25,Ghibli,car,GASOLINE,Maserati,2015
141,66,Model S,car,ELECTRIC,Tesla,2013
142,26,Altima,car,GASOLINE,Nissan,2018
143,83,S-Class,car,GASOLINE,Mercedes-Benz,2014
144,100,Jetta,car,GASOLINE,Volkswagen,2011
145,48,New Beetle,car,GASOLINE,Volkswagen,2008
146,97,Cayenne,suv,GASOLINE,Porsche,2017
147,50,Silverado 1500,truck,GASOLINE,Chevrolet,2017
148,20,Model 3,car,ELECTRIC,Tesla,2020
149,87,Optima,car,HYBRID,Kia,2016
150,79,Macan,suv,GASOLINE,Porsche,2017
151,12,Sorento,suv,GASOLINE,Kia,2014
152,76,Wrangler,suv,GASOLINE,Jeep,2017
153,85,Boxster,car,GASOLINE,Porsche,2015
154,72,IS,car,GASOLINE,Lexus,2020
155,67,Versa Note,car,GASOLINE,Nissan,2015
156,55,CLS-Class,car,GASOLINE,Mercedes-Benz,2016
157,65,Soul,car,GASOLINE,Kia,2014
158,46,Passat,car,GASOLINE,Volkswagen,2015
159,10,Altima,car,GASOLINE,Nissan,2016
160,90,Elantra,car,GASOLINE,Hyundai,2019
161,95,Grand Cherokee,suv,GASOLINE,Jeep,2019
162,49,Cooper,car,GASOLINE,MINI,2015
163,81,Grand Cherokee,suv,GASOLINE,Jeep,2017
164,7,Passat,car,GASOLINE,Volkswagen,2012
165,64,i8,car,HYBRID,BMW,2016
166,94,Range Rover Velar,suv,GASOLINE,Land Rover,2018
167,92,Model 3,car,ELECTRIC,Tesla,2020
168,80,Model 3,car,ELECTRIC,Tesla,2020
169,93,Model S,car,ELECTRIC,Tesla,2013
170,95,Prius,car,HYBRID,Toyota,2010
171,86,E-Class,car,GASOLINE,Mercedes-Benz,2016
172,8,X5,suv,GASOLINE,BMW,2009
173,54,Compass,suv,GASOLINE,Jeep,2018
174,6,Slingshot,car,GASOLINE,Polaris,2017
175,31,Cruze,car,GASOLINE,Chevrolet,2017
176,72,Wrangler Unlimited,suv,GASOLINE,Jeep,2019
177,37,Camaro,car,GASOLINE,Chevrolet,2015
178,70,E-Class,car,GASOLINE,Mercedes-Benz,2014
179,20,300,car,GASOLINE,Chrysler,2018
180,19,Levante,suv,GASOLINE,Maserati,2020
181,1,E-Class,car,GASOLINE,Mercedes-Benz,2012
182,97,Wrangler,suv,GASOLINE,Jeep,2017
183,22,Genesis,car,GASOLINE,Hyundai,2014
184,29,Sentra,car,GASOLINE,Nissan,2017
185,31,Camry,car,GASOLINE,Toyota,2017
186,53,3 Series,car,GASOLINE,BMW,2011
187,41,RAV4,suv,GASOLINE,Toyota,2017
188,66,MX-5 Miata,car,GASOLINE,Mazda,2016
189,56,Grand Caravan,minivan,GASOLINE,Dodge,2016
190,34,Camry,car,GASOLINE,Toyota,2018
191,46,Cruze,car,GASOLINE,Chevrolet,2017
192,87,HS 250h,car,HYBRID,Lexus,2010
193,53,A4,car,GASOLINE,Audi,2012
194,56,Optima,car,GASOLINE,Kia,2013
195,63,Sienna,minivan,GASOLINE,Toyota,2012
196,20,Patriot,suv,GASOLINE,Jeep,2015
197,94,CLA-Class,car,GASOLINE,Mercedes-Benz,2018
198,73,Camry,car,GASOLINE,Toyota,2018
199,78,Escape,suv,GASOLINE,Ford,2017
200,3,Camry,car,GASOLINE,Toyota,2017
201,42,Suburban,suv,GASOLINE,Chevrolet,2019
202,61,IS 250,car,GASOLINE,Lexus,2015
203,56,Focus,car,GASOLINE,Ford,2018
204,100,Model X,suv,ELECTRIC,Tesla,2019
205,10,4 Series Gran Coupe,car,GASOLINE,BMW,2016
206,84,Altima,car,GASOLINE,Nissan,2015
207,69,F-150,truck,GASOLINE,Ford,2019
208,3,Yaris iA,car,GASOLINE,Toyota,2017
209,74,LaCrosse,car,GASOLINE,Buick,2016
210,20,TSX,car,GASOLINE,Acura,2011
211,70,IS 250,car,GASOLINE,Lexus,2015
212,62,Tiguan,suv,GASOLINE,Volkswagen,2011
213,8,Camry,car,HYBRID,Toyota,2008
214,65,TSX,car,GASOLINE,Acura,2011
215,98,Prius v,car,HYBRID,Toyota,2012
216,63,Jetta,car,GASOLINE,Volkswagen,2017
217,2,Soul,car,GASOLINE,Kia,2018
218,84,Elantra,car,GASOLINE,Hyundai,2015
219,15,Prius,car,HYBRID,Toyota,2010
220,90,Prius,car,HYBRID,Toyota,2010
221,11,HS 250h,car,HYBRID,Lexus,2011
222,20,Rio,car,GASOLINE,Kia,2009
223,67,Prius,car,HYBRID,Toyota,2010
224,5,Accord,car,GASOLINE,Honda,2011
225,19,CT 200h,car,HYBRID,Lexus,2012
226,78,5 Series,car,GASOLINE,BMW,2016
227,22,3 Series,car,GASOLINE,BMW,2011
228,49,C-Class,car,GASOLINE,Mercedes-Benz,2009
229,82,500,car,GASOLINE,FIAT,2013
230,70,3 Series,car,GASOLINE,BMW,2016
231,19,CLA-Class,car,GASOLINE,Mercedes-Benz,2015
232,42,X1,suv,GASOLINE,BMW,2013
233,5,3 Series,car,GASOLINE,BMW,2009
234,99,CLA-Class,car,GASOLINE,Mercedes-Benz,2017
235,70,Elantra GT,car,GASOLINE,Hyundai,2017
236,38,Sonata,car,GASOLINE,Hyundai,2019
237,80,Prius c,car,HYBRID,Toyota,2012
238,23,Giulia,car,GASOLINE,Alfa-romeo,2019
239,18,Sierra 1500,truck,GASOLINE,GMC,2016
240,71,Camaro,car,GASOLINE,Chevrolet,2018
241,37,Model X,suv,ELECTRIC,Tesla,2017
242,43,Yaris,car,GASOLINE,Toyota,2008
243,72,5 Series,car,GASOLINE,BMW,2018
244,31,Boxster,car,GASOLINE,Porsche,2014
245,21,CLA-Class,car,GASOLINE,Mercedes-Benz,2018
246,14,GLC-Class,suv,GASOLINE,Mercedes-benz,2019
247,98,Trax,suv,GASOLINE,Chevrolet,2018
248,59,Corvette,car,GASOLINE,Chevrolet,2007
249,52,4 Series,car,GASOLINE,BMW,2018
250,25,C-Class,car,GASOLINE,Mercedes-Benz,2016
251,64,Range Rover Evoque,suv,GASOLINE,Land Rover,2015
252,81,Sentra,car,GASOLINE,Nissan,2017
253,40,Mustang,car,GASOLINE,Ford,2016
254,55,CLA-Class,car,GASOLINE,Mercedes-Benz,2017
255,100,Model 3,car,ELECTRIC,Tesla,2020
256,26,Model 3,car,ELECTRIC,Tesla,2020
257,50,Mustang,car,GASOLINE,Ford,2014
258,9,SL-Class,car,GASOLINE,Mercedes-Benz,2017
259,7,S5,car,GASOLINE,Audi,2015
260,3,Model S,car,ELECTRIC,Tesla,2018
261,25,Prius,car,HYBRID,Toyota,2008
262,26,Atlas Cross Sport,suv,GASOLINE,Volkswagen,2020
263,8,Corvette,car,GASOLINE,Chevrolet,2019
264,98,Slingshot,car,GASOLINE,Polaris,2019
265,47,Challenger,car,GASOLINE,Dodge,2015
266,64,Mustang,car,GASOLINE,Ford,2018
267,50,Challenger,car,GASOLINE,Dodge,2019
268,3,GLC-Class,suv,GASOLINE,Mercedes-benz,2019
269,49,4Runner,suv,GASOLINE,Toyota,2016
270,36,Model 3,car,ELECTRIC,Tesla,2018
271,44,Cayenne,suv,GASOLINE,Porsche,2014
272,55,5 Series,car,GASOLINE,BMW,2014
273,87,E-Class,car,GASOLINE,Mercedes-Benz,2017
274,76,Corvette,car,GASOLINE,Chevrolet,2019
275,54,Model 3,car,ELECTRIC,Tesla,2019
276,75,Range Rover Sport,suv,HYBRID,Land Rover,2020
277,64,TTS,car,GASOLINE,Audi,2010
278,90,Prius,car,HYBRID,Toyota,2009
279,94,ES 350,car,GASOLINE,Lexus,2009
280,65,Sequoia,suv,GASOLINE,Toyota,2018
281,56,Camry,car,GASOLINE,Toyota,2010
282,34,Camry,car,GASOLINE,Toyota,2017
283,43,X6,suv,GASOLINE,BMW,2016
284,47,Ghibli,car,GASOLINE,Maserati,2019
285,76,Navigator,suv,GASOLINE,Lincoln,2016
286,69,Equinox,suv,GASOLINE,Chevrolet,2019
287,19,Accord Sedan,car,GASOLINE,Honda,2019
288,61,Model 3,car,ELECTRIC,Tesla,2018
289,91,Ridgeline,truck,GASOLINE,Honda,2014
290,26,F-150,truck,GASOLINE,Ford,2014
291,54,Highlander,suv,GASOLINE,Toyota,2019
292,48,S-Class,car,GASOLINE,Mercedes-Benz,2013
293,21,Model 3,car,ELECTRIC,Tesla,2020
294,21,Model X,suv,ELECTRIC,Tesla,2018
295,59,X5,suv,GASOLINE,BMW,2012
296,54,Prius,car,HYBRID,Toyota,2009
297,75,GL-Class,suv,GASOLINE,Mercedes-Benz,2012
298,83,500,car,GASOLINE,FIAT,2012
299,36,Metris,minivan,GASOLINE,Mercedes-Benz,2018
300,86,A6,car,GASOLINE,Audi,2018
301,14,Challenger,car,GASOLINE,Dodge,2015
302,63,Wrangler,suv,GASOLINE,Jeep,2013
303,31,Genesis,car,GASOLINE,Hyundai,2013
304,34,GS 350,car,GASOLINE,Lexus,2013
305,89,Escape,suv,GASOLINE,Ford,2015
306,30,Eclipse Cross,suv,GASOLINE,Mitsubishi,2019
307,33,Wrangler,suv,GASOLINE,Jeep,2020
308,17,C-Class,car,GASOLINE,Mercedes-benz,2019
309,52,Rogue,suv,GASOLINE,Nissan,2019
310,95,Suburban,suv,GASOLINE,Chevrolet,2017
311,48,Suburban,suv,GASOLINE,Chevrolet,2012
312,33,QX60,suv,GASOLINE,Infiniti,2020
313,3,Pilot,suv,GASOLINE,Honda,2019
314,45,Yukon,suv,GASOLINE,GMC,2012
315,19,A4,car,GASOLINE,Audi,2016
316,4,Odyssey,minivan,GASOLINE,Honda,2020
317,87,Wrangler,suv,GASOLINE,Jeep,2018
318,35,Santa Fe,suv,GASOLINE,Hyundai,2013
319,19,Supra,car,GASOLINE,Toyota,2020
320,88,CTS Coupe,car,GASOLINE,Cadillac,2011
321,78,Tacoma,truck,GASOLINE,Toyota,2018
322,98,Acadia,suv,GASOLINE,GMC,2015
323,53,Highlander,suv,GASOLINE,Toyota,2019
324,63,Highlander,suv,GASOLINE,Toyota,2019
325,80,Wrangler,suv,GASOLINE,Jeep,2017
326,84,Wrangler,suv,GASOLINE,Jeep,2015
327,73,A5,car,GASOLINE,Audi,2018
328,7,Wrangler,suv,GASOLINE,Jeep,2016
329,30,Tahoe,suv,GASOLINE,Chevrolet,2011
330,92,NX 200t,suv,GASOLINE,Lexus,2015
331,3,5 Series,car,GASOLINE,BMW,2012
332,18,Impreza,car,GASOLINE,Subaru,2012
333,33,Camry,car,GASOLINE,Toyota,2020
334,54,Camry,car,GASOLINE,Toyota,2017
335,88,QX60,suv,GASOLINE,Infiniti,2020
336,25,Accord Sedan,car,GASOLINE,Honda,2019
337,88,Camry,car,GASOLINE,Toyota,2020
338,30,Civic Sedan,car,GASOLINE,Honda,2019
339,4,CT 200h,car,HYBRID,Lexus,2015
340,84,Camry,car,GASOLINE,Toyota,2015
341,90,Convertible,car,GASOLINE,MINI,2018
342,46,Prius,car,HYBRID,Toyota,2013
343,59,Impreza,car,GASOLINE,Subaru,2009
344,85,Sonata,car,GASOLINE,Hyundai,2015
345,92,Sienna,minivan,GASOLINE,Toyota,2012
346,40,Hardtop 2 Door,car,GASOLINE,MINI,2017
347,9,Elantra,car,GASOLINE,Hyundai,2017
348,8,Q50,car,GASOLINE,Infiniti,2019
349,69,RX 350,suv,GASOLINE,Lexus,2014
350,22,Sentra,car,GASOLINE,Nissan,2015
351,68,HR-V,suv,GASOLINE,Honda,2019
352,31,Civic,car,GASOLINE,Honda,2016
353,28,Rio,car,GASOLINE,Kia,2019
354,13,Sentra,car,GASOLINE,Nissan,2018
355,80,Frontier,truck,GASOLINE,Nissan,2015
356,27,F-150,truck,GASOLINE,Ford,2014
357,62,S40,car,GASOLINE,Volvo,2011
358,26,Optima Hybrid,car,HYBRID,Kia,2018
359,21,ES 330,car,GASOLINE,Lexus,2006
360,98,Corolla,car,GASOLINE,Toyota,2018
361,1,Camry,car,GASOLINE,Toyota,2009
362,30,Prius,car,HYBRID,Toyota,2015
363,65,Corolla,car,GASOLINE,Toyota,2017
364,20,Prius c,car,HYBRID,Toyota,2012
365,47,Jetta,car,GASOLINE,Volkswagen,2013
366,32,Prius c,car,HYBRID,Toyota,2015
367,4,Civic,car,GASOLINE,Honda,2014
368,83,Camry,car,GASOLINE,Toyota,2011
369,29,RAV4,suv,GASOLINE,Toyota,2012
370,93,Fit,car,GASOLINE,Honda,2011
371,29,Corolla,car,GASOLINE,Toyota,2007
372,38,Fit,car,GASOLINE,Honda,2008
373,15,Corolla,car,GASOLINE,Toyota,2006
374,77,Mustang,car,GASOLINE,Ford,2019
375,63,Niro,suv,HYBRID,Kia,2017
376,53,Grand Caravan,minivan,GASOLINE,Dodge,2017
377,97,Cherokee,suv,GASOLINE,Jeep,2017
378,84,Wrangler,suv,GASOLINE,Jeep,2018
379,23,Slingshot,car,GASOLINE,Polaris,2020
380,46,mustang,car,GASOLINE,Ford,1968
381,29,Colorado,truck,GASOLINE,Chevrolet,2015
382,40,Shelby AC Cobra,car,GASOLINE,Ford,1965
383,95,RX 350,suv,GASOLINE,Lexus,2010
384,12,Corvette Stingray,car,GASOLINE,Chevrolet,2014
385,72,Model 3,car,ELECTRIC,Tesla,2018
386,26,E-Class,car,GASOLINE,Mercedes-Benz,2011
387,23,Tundra,truck,GASOLINE,Toyota,2015
388,25,Prius v,car,HYBRID,Toyota,2015
389,73,XE,car,GASOLINE,Jaguar,2018
390,39,Prius,car,HYBRID,Toyota,2010
391,13,Gallardo,car,GASOLINE,Lamborghini,2007
392,10,Prius,car,HYBRID,Toyota,2010
393,88,Wrangler Unlimited,suv,GASOLINE,Jeep,2019
394,41,Sonata,car,GASOLINE,Hyundai,2017
395,78,Range Rover,suv,GASOLINE,Land Rover,2019
396,7,CC,car,GASOLINE,Volkswagen,2013
397,62,Frontier,truck,GASOLINE,Nissan,2017
398,80,RX 350,suv,GASOLINE,Lexus,2017
399,22,C-Class,car,GASOLINE,Mercedes-Benz,2014
400,82,Prius,car,HYBRID,Toyota,2015
401,29,Outlander,suv,GASOLINE,Mitsubishi,2020
402,98,Sienna,minivan,GASOLINE,Toyota,2017
403,100,Fiesta,car,GASOLINE,Ford,2018
404,86,Sienna,minivan,GASOLINE,Toyota,2011
405,50,Accord,car,GASOLINE,Honda,2011
406,50,Civic,car,GASOLINE,Honda,2009
407,24,Corolla,car,GASOLINE,Toyota,2009
408,68,Accent,car,GASOLINE,Hyundai,2019
409,4,Accent,car,GASOLINE,Hyundai,2019
410,26,CX-9,suv,GASOLINE,Mazda,2013
411,74,Yaris,car,GASOLINE,Toyota,2009
412,36,Fusion,car,GASOLINE,Ford,2018
413,80,Odyssey,minivan,GASOLINE,Honda,2007
414,25,Sienna,minivan,GASOLINE,Toyota,2009
415,29,Santa Fe,suv,GASOLINE,Hyundai,2014
416,80,Jetta,car,GASOLINE,Volkswagen,2008
417,38,Focus,car,GASOLINE,Ford,2014
418,68,Prius,car,HYBRID,Toyota,2010
419,58,5 Series,car,GASOLINE,BMW,2012
420,96,3 Series,car,GASOLINE,BMW,2016
421,87,Cruze,car,GASOLINE,Chevrolet,2019
422,52,C-Max Hybrid,car,HYBRID,Ford,2017
423,12,Civic,car,GASOLINE,Honda,2015
424,97,Equinox,suv,GASOLINE,Chevrolet,2018
425,93,RX 350,suv,GASOLINE,Lexus,2008
426,3,Corolla,car,GASOLINE,Toyota,2020
427,42,XC60,suv,GASOLINE,Volvo,2010
428,10,Cruze,car,GASOLINE,Chevrolet,2017
429,70,200,car,GASOLINE,Chrysler,2013
430,82,Sonic,car,GASOLINE,Chevrolet,2013
431,49,Versa,car,GASOLINE,Nissan,2012
432,90,Camry,car,GASOLINE,Toyota,2017
433,81,Solstice,car,GASOLINE,Pontiac,2007
434,26,3 Series,car,GASOLINE,BMW,2015
435,39,Tucson,suv,GASOLINE,Hyundai,2016
436,44,1500,truck,GASOLINE,Ram,2017
437,70,Camaro,car,GASOLINE,Chevrolet,2019
438,96,Model S,car,ELECTRIC,Tesla,2017
439,79,Mustang,car,GASOLINE,Ford,2018
440,73,Model 3,car,ELECTRIC,Tesla,2019
441,26,Mustang,car,GASOLINE,Ford,2018
442,52,M3,car,GASOLINE,BMW,2011
443,18,Mazda3,car,GASOLINE,Mazda,2019
444,96,Model 3,car,ELECTRIC,Tesla,2018
445,73,Mustang,car,GASOLINE,Ford,2018
446,99,GX 460,suv,GASOLINE,Lexus,2018
447,41,X5,suv,GASOLINE,BMW,2015
448,35,Mustang,car,GASOLINE,Ford,2019
449,31,Model S,car,ELECTRIC,Tesla,2017
450,5,Quest,minivan,GASOLINE,Nissan,2016
451,99,Model 3,car,ELECTRIC,Tesla,2018
452,52,Camaro,car,GASOLINE,Chevrolet,2014
453,99,Model Y,suv,ELECTRIC,Tesla,2020
454,48,Explorer,suv,GASOLINE,Ford,2013
455,57,Highlander,suv,GASOLINE,Toyota,2011
456,13,Forte,car,GASOLINE,Kia,2015
457,21,4Runner,suv,GASOLINE,Toyota,2010
458,89,Express,van,GASOLINE,Chevrolet,2015
459,27,Tiguan,suv,GASOLINE,Volkswagen,2016
460,75,Cruze,car,GASOLINE,Chevrolet,2014
461,99,F-TYPE,car,GASOLINE,Jaguar,2018
462,57,3 Series,car,GASOLINE,BMW,2016
463,8,Golf GTI,car,GASOLINE,Volkswagen,2020
464,67,Altima,car,GASOLINE,Nissan,2017
465,78,GLC-Class,suv,GASOLINE,Mercedes-Benz,2018
466,97,Silverado 1500,truck,GASOLINE,Chevrolet,2019
467,67,Wrangler JK,suv,GASOLINE,Jeep,2018
468,91,Model S,car,ELECTRIC,Tesla,2015
469,90,A4,car,GASOLINE,Audi,2018
470,30,Maxima,car,GASOLINE,Nissan,2011
471,14,Explorer,suv,GASOLINE,Ford,2018
472,99,Altima,car,GASOLINE,Nissan,2016
473,6,Sentra,car,GASOLINE,Nissan,2019
474,95,Altima,car,GASOLINE,Nissan,2013
475,13,Q50,car,GASOLINE,Infiniti,2014
476,81,Slingshot,car,GASOLINE,Polaris,2017
477,76,Elantra,car,GASOLINE,Hyundai,2020
478,53,MX-5 Miata RF,car,GASOLINE,Mazda,2017
479,11,IS 250 C,car,GASOLINE,Lexus,2010
480,81,Cayman,car,GASOLINE,Porsche,2016
481,43,Wrangler,suv,GASOLINE,Jeep,2011
482,79,Spark,car,GASOLINE,Chevrolet,2020
483,80,Spark,car,GASOLINE,Chevrolet,2020
484,65,Altima,car,GASOLINE,Nissan,2019
485,6,Camry,car,GASOLINE,Toyota,2019
486,4,Camry,car,GASOLINE,Toyota,2012
487,27,3 Series,car,GASOLINE,BMW,2017
488,4,Civic,car,GASOLINE,Honda,2016
489,38,3,car,GASOLINE,Mazda,2011
490,78,Forte,car,GASOLINE,Kia,2018
491,13,Impreza,car,GASOLINE,Subaru,2017
492,11,fortwo,car,GASOLINE,smart,2012
493,71,500,car,GASOLINE,FIAT,2013
494,50,Optima,car,GASOLINE,Kia,2019
495,27,Optima,car,GASOLINE,Kia,2019
496,9,Ghibli,car,GASOLINE,Maserati,2016
497,76,Fusion,car,HYBRID,Ford,2014
498,49,Grand Caravan,minivan,GASOLINE,Dodge,2013
499,96,Q7,suv,GASOLINE,Audi,2017
500,87,3 Series,car,GASOLINE,BMW,2011
501,89,E-Class,car,GASOLINE,Mercedes-Benz,2017
502,21,Cruze,car,GASOLINE,Chevrolet,2013
503,60,S60,car,GASOLINE,Volvo,2015
504,83,Camaro,car,GASOLINE,Chevrolet,2010
505,23,Stelvio,suv,GASOLINE,Alfa Romeo,2018
506,91,Silverado 1500,truck,GASOLINE,Chevrolet,2018
507,88,Slingshot,car,GASOLINE,Polaris,2016
508,6,Jetta,car,GASOLINE,Volkswagen,2013
509,1,Wrangler,suv,GASOLINE,Jeep,2015
510,28,Jetta,car,GASOLINE,Volkswagen,2011
511,11,Sprinter,van,DIESEL,Mercedes-Benz,2015
512,89,5 Series,car,GASOLINE,BMW,2011
513,39,Malibu,car,GASOLINE,Chevrolet,2018
514,75,Fusion,car,GASOLINE,Ford,2015
515,66,Yaris,car,GASOLINE,Toyota,2007
516,53,Yaris,car,GASOLINE,Toyota,2014
517,12,Accord,car,GASOLINE,Honda,2015
